REF_DATE,v1041419077,v1041419078,v1041419079,v1041419080,v1041419081,v1041419082,v1041419083,v1041419084,v1041419085,v1041419086,v1041419087,v1041419088,v1041419089,v1041419090,v1041419091,v1041419092,v1041419093,v1041419094,v1041419095,v1041419096,v1041419097,v1041419098,v1041419099,v1041419100,v1041419101,v1041419102,v1041419103,v1041419104,v1041419105,v1041419106,v1041419107,v62305723,v62305724,v62305725,v62305726,v62305727,v62305728,v62305729,v62305730,v62305731,v62305732,v62305733,v62305734,v62305735,v62305736,v62305737,v62305738,v62305739,v62305740,v62305741,v62305742,v62305743,v62305744,v62305745,v62305746,v62305747,v62305748,v62305749,v62305750,v62305751,v62305752,v62305753,v62305754,v62305755,v62305756,v62305757,v62305758,v62305759,v62305760,v62305761,v62305762,v62305763,v62305764,v62305765,v62305766,v62305767,v62305768,v62305769,v62305770,v62305771,v62305772,v62305773,v62305774,v62305775,v62305776,v62305777,v62305778,v62305779,v62305780,v62305781,v62305782,v62305783,v62305784,v62305785,v62305786,v62305787,v62305788,v62305789,v62305790,v62305791,v62305792,v62305793,v62305794,v62305795,v62305796,v62305797,v62305798,v62305799,v62305800,v62305801,v62305802,v62305803,v62305804,v62305805,v62305806,v62305807,v62305808,v62305809,v62305810,v62305811,v62305812,v62305813,v62305814,v62305815,v62305816,v62305817,v62305818,v62305819,v62305820,v62305821,v62305822,v62305823,v62305824,v62305825,v62305826,v62305827,v62305828,v62305829,v62305830,v62305831,v62305832,v62305833,v62305834,v62305835,v62305836,v62305837,v62305838,v62305839,v62305840,v62305841,v62305842,v62305843,v62305844,v62305845,v62305846,v79448554,v79448555,v79448556,v79448557,v79448558,v79448559,v79448560,v79448561,v79448562,v79448563,v79448564,v79448565,v79448566,v79448567,v79448568,v79448569,v79448570,v79448571,v79448572,v79448573,v79448574,v79448575,v79448576,v79448577,v79448578,v79448579,v79448580,v79448581
1961-01,255481.0,172861.0,79624.0,7771.0,10885.0,75157.0,96813.0,2612.0,80057.0,52611.0,40587.0,22678.0,19251.0,19789.0,5216.0,1330.0,272.0,11775.0,641.0,641.0,2087.0,-1465.0,41788.0,33698.0,8644.0,34969.0,24907.0,11999.0,-3620.0,316042.0,305744.0,275324.0,182407.0,81917.0,7346.0,10174.0,81802.0,104974.0,2796.0,91244.0,57964.0,44499.0,25355.0,20676.0,23411.0,4970.0,1465.0,300.0,13287.0,742.0,742.0,2323.0,-2264.0,44853.0,35753.0,9783.0,36920.0,26486.0,12354.0,-3961.0,343577.0,331627.0,32125.0,25196.0,15260.0,2828.0,3120.0,9312.0,9936.0,344.0,6585.0,9096.0,6916.0,2136.0,4556.0,2424.0,2132.0,224.0,52.0,2128.0,136.0,168.0,588.0,-420.0,7080.0,6068.0,1012.0,7296.0,5844.0,1452.0,-469.0,40672.0,41221.0,7788.0,5920.0,3505.0,635.0,599.0,2271.0,2415.0,86.0,1782.0,1889.0,1451.0,399.0,996.0,492.0,504.0,56.0,11.0,427.0,79.0,109.0,453.0,-344.0,1526.0,1357.0,169.0,1649.0,1322.0,327.0,-104.0,9529.0,9677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-04,259581.0,176113.0,81816.0,8221.0,10792.0,77461.0,97353.0,2732.0,80438.0,53965.0,40724.0,23317.0,19082.0,20085.0,5030.0,1350.0,257.0,12983.0,1023.0,955.0,2087.0,-1145.0,41325.0,33307.0,8574.0,34861.0,24855.0,11904.0,-2156.0,323990.0,311300.0,279760.0,185810.0,84173.0,7769.0,10087.0,84303.0,105508.0,2924.0,91679.0,59451.0,44649.0,26070.0,20494.0,23761.0,4793.0,1487.0,278.0,14649.0,1176.0,1098.0,2321.0,-1707.0,44358.0,35342.0,9705.0,36808.0,26434.0,12253.0,-2338.0,352261.0,337662.0,32732.0,25684.0,15664.0,2984.0,3108.0,9572.0,10020.0,364.0,6684.0,9152.0,6904.0,2192.0,4484.0,2452.0,2032.0,228.0,48.0,2200.0,244.0,236.0,600.0,-364.0,7032.0,6016.0,1016.0,7316.0,5848.0,1468.0,-276.0,41568.0,41884.0,8225.0,6571.0,4010.0,863.0,775.0,2372.0,2561.0,89.0,1565.0,2279.0,1754.0,525.0,1172.0,580.0,592.0,57.0,12.0,513.0,-97.0,-107.0,-14.0,-93.0,1788.0,1544.0,244.0,1943.0,1553.0,390.0,-26.0,10226.0,10504.0,1.276,1.16,1.035,0.401,-0.066,0.701,0.124,0.039,0.076,0.569,0.057,0.14800000000000002,-0.09699999999999999,0.08900000000000001,-0.18600000000000003,0.006,-0.01,0.522,0.34700000000000003,0.248,0.023,0.225,-0.193,-0.174,-0.019,-0.055999999999999994,-0.028999999999999998,-0.027000000000000003,0.473,2.528,1.845,5.297000000000001,4.819,4.303999999999999,1.666,-0.27399999999999997,2.912,0.515,0.162,0.316,2.364,0.237,0.615,-0.40299999999999997,0.37,-0.773,0.025,-0.042,2.169,1.442,-0.802,-0.723,-0.079,-0.23199999999999998,-0.12,-0.11199999999999999,1.965,7.6610000000000005,7.6610000000000005
1961-07,266759.0,180425.0,84069.0,8943.0,10969.0,78406.0,99274.0,2820.0,83601.0,55784.0,42067.0,24164.0,19717.0,20739.0,5201.0,1342.0,279.0,13433.0,-1573.0,-1627.0,-29.0,-1575.0,42620.0,34309.0,8915.0,35179.0,24840.0,12488.0,592.0,331816.0,320322.0,287455.0,190345.0,86512.0,8474.0,10253.0,85310.0,107538.0,3020.0,95284.0,61456.0,46122.0,27018.0,21176.0,24534.0,4956.0,1478.0,301.0,15157.0,-1808.0,-1871.0,-32.0,-2347.0,45748.0,36399.0,10089.0,37144.0,26415.0,12852.0,642.0,360748.0,347408.0,33712.0,26328.0,16064.0,3212.0,3168.0,9684.0,10264.0,376.0,7008.0,9452.0,7112.0,2264.0,4620.0,2532.0,2088.0,228.0,52.0,2288.0,-424.0,-464.0,-44.0,-420.0,7432.0,6384.0,1048.0,7568.0,6004.0,1564.0,76.0,42680.0,43164.0,8148.0,6352.0,3780.0,748.0,736.0,2296.0,2572.0,95.0,1701.0,2674.0,1974.0,669.0,1248.0,748.0,500.0,57.0,15.0,685.0,376.0,345.0,-107.0,452.0,2055.0,1657.0,398.0,1938.0,1488.0,450.0,58.0,11373.0,10822.0,2.166,1.506,1.044,0.645,0.12300000000000001,0.276,0.46299999999999997,0.024,0.636,0.741,0.546,0.191,0.35700000000000004,0.192,0.165,-0.001,0.01,0.184,-1.7169999999999999,-1.7930000000000001,-1.484,-0.309,0.537,0.44,0.096,0.163,-0.01,0.17300000000000001,0.846,2.4090000000000003,2.907,8.987,6.25,4.33,2.675,0.51,1.145,1.92,0.1,2.637,3.072,2.2680000000000002,0.792,1.48,0.7959999999999999,0.684,-0.004,0.040999999999999995,0.763,-7.12,2.2230000000000003,1.825,0.39799999999999996,0.6759999999999999,-0.040999999999999995,0.7170000000000001,3.508,12.059000000000001,12.059000000000001
1961-10,267322.0,181075.0,83751.0,8735.0,11315.0,77693.0,100774.0,2852.0,83267.0,55850.0,41777.0,23317.0,19859.0,20968.0,5218.0,1326.0,298.0,13765.0,1639.0,1680.0,2920.0,-1213.0,43523.0,35006.0,9157.0,37725.0,26757.0,13162.0,132.0,336461.0,320940.0,288096.0,191069.0,86200.0,8275.0,10578.0,84588.0,109186.0,3048.0,94903.0,61529.0,45804.0,26070.0,21329.0,24805.0,4972.0,1461.0,322.0,15532.0,1884.0,1931.0,3246.0,-1809.0,46719.0,37139.0,10359.0,39830.0,28451.0,13552.0,143.0,365775.0,348099.0,33923.0,26520.0,16060.0,3160.0,3252.0,9648.0,10460.0,384.0,7019.0,9488.0,7064.0,2196.0,4644.0,2552.0,2092.0,224.0,56.0,2368.0,484.0,468.0,860.0,-392.0,7696.0,6628.0,1068.0,8132.0,6476.0,1656.0,17.0,43476.0,43411.0,8963.0,7090.0,4467.0,800.0,1052.0,2615.0,2623.0,97.0,1776.0,2455.0,1820.0,604.0,1160.0,670.0,490.0,56.0,14.0,621.0,-248.0,-245.0,169.0,-414.0,1941.0,1716.0,225.0,2048.0,1680.0,368.0,-92.0,10971.0,11418.0,0.177,0.23399999999999999,-0.135,-0.17600000000000002,0.23399999999999999,-0.19399999999999998,0.369,0.01,-0.067,0.027000000000000003,-0.115,-0.18600000000000003,0.08,0.064,0.016,-0.009000000000000001,0.008,0.133,2.238,2.295,2.023,0.272,0.37,0.305,0.065,1.28,1.081,0.19899999999999998,-0.138,1.393,0.203,0.7190000000000001,0.9520000000000001,-0.555,-0.7190000000000001,0.956,-0.792,1.507,0.040999999999999995,-0.27399999999999997,0.105,-0.47100000000000003,-0.76,0.326,0.261,0.065,-0.037000000000000005,0.033,0.5429999999999999,9.141,1.511,1.246,0.265,5.228,4.415,0.813,-0.564,0.8240000000000001,0.8240000000000001
1962-01,272682.0,185215.0,87398.0,9520.0,11584.0,80416.0,99919.0,2940.0,83942.0,56688.0,41582.0,23220.0,19788.0,19951.0,5483.0,1282.0,305.0,14788.0,2235.0,2310.0,1732.0,542.0,43938.0,35267.0,9359.0,37760.0,27332.0,12126.0,952.0,345370.0,327016.0,293885.0,195471.0,89920.0,9009.0,10831.0,87533.0,108342.0,3144.0,95672.0,62443.0,45590.0,25961.0,21253.0,23603.0,5225.0,1412.0,324.0,16686.0,2569.0,2655.0,1926.0,808.0,47164.0,37413.0,10593.0,39862.0,29055.0,12483.0,1033.0,375481.0,354703.0,34748.0,27204.0,16768.0,3404.0,3348.0,10016.0,10436.0,396.0,7148.0,9600.0,7064.0,2196.0,4648.0,2444.0,2204.0,220.0,56.0,2480.0,649.0,677.0,384.0,293.0,7812.0,6712.0,1100.0,8236.0,6696.0,1540.0,123.0,44696.0,44348.0,8432.0,6372.0,3838.0,759.0,639.0,2440.0,2534.0,100.0,1960.0,2013.0,1498.0,418.0,1025.0,502.0,523.0,55.0,11.0,504.0,8.0,38.0,370.0,-332.0,1679.0,1501.0,178.0,1867.0,1517.0,350.0,58.0,10323.0,10445.0,1.568,1.4080000000000001,1.594,0.6409999999999999,0.179,0.774,-0.18600000000000003,0.027999999999999997,0.133,0.325,-0.075,-0.02,-0.04,-0.284,0.244,-0.015,0.001,0.4,0.361,0.462,-0.805,1.2670000000000001,0.16899999999999998,0.114,0.055999999999999994,0.016,0.319,-0.303,0.245,2.654,1.8940000000000001,6.531000000000001,5.86,6.6339999999999995,2.668,0.745,3.221,-0.774,0.11699999999999999,0.5539999999999999,1.358,-0.311,-0.083,-0.166,-1.182,1.016,-0.062,0.004,1.665,1.5019999999999998,0.7070000000000001,0.474,0.233,0.067,1.328,-1.261,1.02,7.888999999999999,7.888999999999999
1962-04,275852.0,186251.0,87745.0,9501.0,11907.0,80246.0,100748.0,3092.0,86675.0,56395.0,41715.0,23560.0,19732.0,19655.0,5540.0,1302.0,305.0,14370.0,988.0,940.0,792.0,140.0,44090.0,35006.0,10016.0,36732.0,26213.0,12500.0,1728.0,347880.0,329612.0,297350.0,196588.0,90311.0,8992.0,11130.0,87422.0,109193.0,3300.0,98787.0,62120.0,45735.0,26342.0,21193.0,23252.0,5279.0,1434.0,325.0,16215.0,1135.0,1081.0,880.0,208.0,47326.0,37139.0,11331.0,38803.0,27895.0,12869.0,1874.0,378238.0,357578.0,35352.0,27516.0,16896.0,3408.0,3448.0,10040.0,10620.0,416.0,7420.0,9664.0,7092.0,2212.0,4656.0,2416.0,2240.0,224.0,56.0,2516.0,244.0,244.0,216.0,28.0,7908.0,6732.0,1176.0,8192.0,6568.0,1624.0,224.0,45200.0,45016.0,8866.0,7033.0,4319.0,979.0,859.0,2481.0,2714.0,105.0,1728.0,2415.0,1808.0,525.0,1227.0,575.0,652.0,56.0,13.0,594.0,-193.0,-201.0,-84.0,-117.0,2009.0,1733.0,276.0,2177.0,1749.0,428.0,80.0,11000.0,11281.0,0.9159999999999999,0.349,0.16399999999999998,-0.016,0.20800000000000002,-0.027999999999999997,0.185,0.047,0.52,-0.111,0.05,0.071,-0.027999999999999997,-0.081,0.053,0.006999999999999999,0.0,-0.162,-0.846,-0.9079999999999999,-0.637,-0.272,0.06,-0.111,0.171,-0.493,-0.603,0.11,0.222,0.7340000000000001,0.805,3.7039999999999997,1.411,0.6629999999999999,-0.065,0.841,-0.113,0.748,0.19,2.103,-0.45399999999999996,0.201,0.287,-0.114,-0.32799999999999996,0.214,0.027999999999999997,0.0,-0.655,-3.4210000000000003,0.243,-0.449,0.6920000000000001,-1.994,-2.439,0.445,0.898,3.25,3.25
1962-07,274456.0,185397.0,87054.0,9221.0,11772.0,80307.0,100799.0,3240.0,85796.0,58215.0,43556.0,24963.0,20469.0,20113.0,5832.0,1342.0,283.0,14387.0,3495.0,3483.0,2441.0,969.0,43374.0,34505.0,9737.0,36346.0,26280.0,11727.0,-360.0,352445.0,330611.0,295891.0,195753.0,89634.0,8727.0,11002.0,87526.0,109298.0,3460.0,97785.0,64134.0,47753.0,27911.0,21985.0,23794.0,5558.0,1478.0,303.0,16234.0,4017.0,4004.0,2714.0,1441.0,46557.0,36605.0,11025.0,38407.0,27966.0,12074.0,-390.0,383219.0,358687.0,35371.0,27540.0,16844.0,3312.0,3428.0,10104.0,10696.0,440.0,7391.0,10028.0,7436.0,2360.0,4844.0,2468.0,2376.0,232.0,52.0,2540.0,1100.0,1092.0,760.0,332.0,7848.0,6692.0,1156.0,8156.0,6616.0,1540.0,-47.0,46144.0,45399.0,8550.0,6642.0,3973.0,776.0,800.0,2397.0,2669.0,110.0,1798.0,2811.0,2039.0,696.0,1285.0,722.0,563.0,58.0,16.0,756.0,1184.0,1159.0,112.0,1047.0,2185.0,1736.0,449.0,2076.0,1641.0,435.0,40.0,12694.0,11361.0,-0.381,-0.26,-0.281,-0.221,-0.087,0.027000000000000003,0.021,0.045,-0.166,0.691,0.691,0.292,0.384,0.12300000000000001,0.261,0.016,-0.008,0.008,1.704,1.686,1.071,0.615,-0.284,-0.213,-0.071,-0.18600000000000003,0.037000000000000005,-0.223,-0.598,1.317,0.31,-1.554,-1.061,-1.147,-0.902,-0.355,0.11,0.086,0.184,-0.677,2.823,2.823,1.1909999999999998,1.567,0.502,1.065,0.065,-0.033,0.033,6.952000000000001,-1.159,-0.8690000000000001,-0.29,-0.759,0.151,-0.91,-2.44,1.2690000000000001,1.2690000000000001
1962-10,279613.0,188745.0,89336.0,9864.0,11907.0,81651.0,101352.0,3360.0,87589.0,57745.0,43087.0,24255.0,20423.0,20035.0,5830.0,1338.0,279.0,14379.0,2385.0,2383.0,1213.0,1100.0,45700.0,36634.0,9807.0,35110.0,25261.0,11559.0,-794.0,359610.0,334844.0,301486.0,199321.0,92000.0,9337.0,11130.0,89034.0,109885.0,3588.0,99828.0,63607.0,47240.0,27119.0,21935.0,23702.0,5556.0,1474.0,302.0,16224.0,2741.0,2739.0,1348.0,1638.0,49055.0,38867.0,11103.0,37128.0,26915.0,11900.0,-861.0,391021.0,363329.0,36285.0,28240.0,17380.0,3548.0,3516.0,10316.0,10860.0,460.0,7585.0,10004.0,7396.0,2304.0,4860.0,2464.0,2396.0,232.0,52.0,2556.0,687.0,679.0,384.0,295.0,8236.0,7056.0,1180.0,7884.0,6360.0,1524.0,-104.0,47224.0,46289.0,9592.0,7579.0,4842.0,904.0,1137.0,2801.0,2737.0,113.0,1900.0,2585.0,1902.0,629.0,1215.0,649.0,566.0,58.0,14.0,669.0,-329.0,-323.0,38.0,-361.0,2078.0,1828.0,250.0,1997.0,1653.0,344.0,-130.0,11799.0,12177.0,1.452,1.091,0.965,0.501,0.087,0.377,0.126,0.027000000000000003,0.335,-0.177,-0.17300000000000001,-0.147,-0.024,-0.022000000000000002,-0.002,-0.001,0.0,-0.004,-0.611,-0.611,-0.742,0.13,0.9079999999999999,0.8909999999999999,0.018000000000000002,-0.588,-0.5379999999999999,-0.05,-0.124,2.036,1.275,5.992000000000001,4.5,3.98,2.066,0.359,1.555,0.52,0.111,1.381,-0.725,-0.7090000000000001,-0.606,-0.099,-0.091,-0.008,-0.004,0.0,-0.016,-2.52,3.748,3.674,0.07400000000000001,-2.425,-2.219,-0.20600000000000002,-0.511,5.267,5.267
1963-01,282137.0,190008.0,89883.0,9904.0,11827.0,82588.0,102108.0,3392.0,89088.0,57291.0,42565.0,23456.0,20389.0,20001.0,5815.0,1306.0,294.0,14428.0,2511.0,2518.0,1433.0,1022.0,46093.0,36895.0,9979.0,35266.0,25430.0,11501.0,-1217.0,361767.0,336641.0,304227.0,200672.0,92606.0,9374.0,11056.0,90104.0,110676.0,3624.0,101537.0,63116.0,46667.0,26225.0,21898.0,23662.0,5542.0,1439.0,318.0,16280.0,2886.0,2894.0,1593.0,1525.0,49475.0,39141.0,11295.0,37311.0,27112.0,11839.0,-1287.0,393401.0,365296.0,36739.0,28532.0,17536.0,3564.0,3500.0,10472.0,10996.0,464.0,7743.0,10012.0,7392.0,2256.0,4908.0,2496.0,2412.0,228.0,56.0,2564.0,753.0,749.0,388.0,361.0,8316.0,7116.0,1200.0,7996.0,6488.0,1508.0,-156.0,47668.0,46751.0,8931.0,6710.0,4021.0,803.0,667.0,2551.0,2689.0,117.0,2104.0,2113.0,1573.0,424.0,1092.0,516.0,576.0,57.0,11.0,529.0,15.0,38.0,377.0,-339.0,1780.0,1585.0,195.0,1806.0,1463.0,343.0,-7.0,11026.0,11044.0,0.6990000000000001,0.406,0.242,0.028999999999999998,-0.05,0.263,0.16399999999999998,0.017,0.275,-0.166,-0.192,-0.161,-0.019,-0.006999999999999999,-0.012,-0.012,0.006,0.02,0.11800000000000001,0.127,0.175,-0.048,0.15,0.106,0.044000000000000004,0.084,0.099,-0.015,-0.10800000000000001,0.609,0.5329999999999999,2.818,1.639,0.977,0.11699999999999999,-0.20199999999999999,1.062,0.662,0.069,1.11,-0.669,-0.774,-0.65,-0.076,-0.027999999999999997,-0.048,-0.048,0.024,0.081,0.47600000000000003,0.606,0.428,0.17800000000000002,0.33899999999999997,0.4,-0.061,-0.436,2.149,2.149
1963-04,286171.0,193425.0,91821.0,10518.0,12153.0,83039.0,103374.0,3480.0,89061.0,58525.0,43779.0,24422.0,20843.0,20532.0,5921.0,1350.0,272.0,14485.0,1909.0,1950.0,289.0,1570.0,47133.0,37761.0,10144.0,36250.0,26110.0,11883.0,287.0,367071.0,341976.0,308586.0,204314.0,94594.0,9955.0,11362.0,90625.0,112094.0,3720.0,101506.0,64475.0,47999.0,27305.0,22385.0,24290.0,5643.0,1487.0,295.0,16344.0,2195.0,2242.0,322.0,2340.0,50587.0,40067.0,11487.0,38347.0,27824.0,12242.0,312.0,399154.0,371102.0,37570.0,29252.0,17960.0,3772.0,3608.0,10580.0,11292.0,488.0,7830.0,10268.0,7624.0,2348.0,5040.0,2564.0,2476.0,236.0,52.0,2592.0,468.0,488.0,76.0,412.0,8544.0,7300.0,1244.0,8244.0,6680.0,1564.0,38.0,48644.0,47838.0,9443.0,7484.0,4599.0,1081.0,900.0,2618.0,2885.0,122.0,1837.0,2565.0,1942.0,557.0,1326.0,607.0,719.0,59.0,13.0,610.0,-219.0,-223.0,-151.0,-72.0,2173.0,1881.0,292.0,2184.0,1777.0,407.0,22.0,11800.0,12008.0,1.107,1.087,0.79,0.461,0.203,0.126,0.297,0.026000000000000002,-0.006,0.452,0.44,0.195,0.23,0.138,0.092,0.015,-0.008,0.02,-0.435,-0.385,-0.722,0.337,0.39399999999999996,0.35100000000000003,0.043,0.46299999999999997,0.358,0.105,0.40700000000000003,1.462,1.5590000000000002,4.525,4.444,3.23,1.885,0.83,0.515,1.214,0.106,-0.025,1.847,1.798,0.797,0.94,0.564,0.376,0.061,-0.033,0.08199999999999999,-1.7790000000000001,1.611,1.435,0.17600000000000002,1.893,1.464,0.429,1.6640000000000001,6.372000000000001,6.372000000000001
1963-07,288728.0,194553.0,92015.0,10220.0,12224.0,84029.0,104577.0,3480.0,91065.0,59540.0,44928.0,24505.0,21623.0,20649.0,6337.0,1370.0,317.0,14313.0,2594.0,2567.0,1072.0,1412.0,47457.0,38001.0,10251.0,37745.0,27332.0,12106.0,37.0,369892.0,345657.0,311410.0,205500.0,94836.0,9673.0,11426.0,91757.0,113313.0,3724.0,103790.0,65593.0,49258.0,27398.0,23223.0,24429.0,6039.0,1509.0,340.0,16150.0,2983.0,2951.0,1192.0,2104.0,50936.0,40316.0,11601.0,39934.0,29126.0,12455.0,41.0,402265.0,375148.0,38163.0,29604.0,18100.0,3680.0,3648.0,10772.0,11504.0,488.0,8071.0,10580.0,7912.0,2372.0,5296.0,2628.0,2668.0,244.0,60.0,2608.0,804.0,808.0,396.0,412.0,8588.0,7324.0,1264.0,8696.0,7076.0,1620.0,5.0,49444.0,48743.0,9178.0,7106.0,4259.0,856.0,848.0,2555.0,2847.0,123.0,1949.0,2949.0,2157.0,700.0,1396.0,766.0,630.0,61.0,17.0,775.0,1238.0,1215.0,0.0,1215.0,2387.0,1896.0,491.0,2211.0,1750.0,461.0,75.0,13616.0,12127.0,0.705,0.348,0.094,-0.218,0.042,0.271,0.254,-0.006,0.363,0.36700000000000005,0.414,0.017,0.38799999999999996,0.031,0.35700000000000004,0.009000000000000001,0.016,-0.063,0.35600000000000004,0.32299999999999995,0.439,-0.11599999999999999,0.12,0.094,0.025,0.7020000000000001,0.644,0.059000000000000004,-0.067,0.779,1.072,2.858,1.413,0.385,-0.882,0.17,1.097,1.028,-0.024,1.469,1.485,1.675,0.069,1.57,0.125,1.445,0.036000000000000004,0.065,-0.255,1.4409999999999998,0.48100000000000004,0.38,0.10099999999999999,2.845,2.6060000000000003,0.239,-0.271,4.343,4.343
1963-10,292938.0,197788.0,94065.0,11184.0,12273.0,84323.0,105410.0,3512.0,91583.0,62181.0,47237.0,27103.0,22215.0,21437.0,6443.0,1430.0,335.0,14636.0,3024.0,3064.0,3348.0,-273.0,52016.0,42021.0,10658.0,39263.0,28602.0,12262.0,-439.0,381510.0,352934.0,315987.0,209036.0,96964.0,10584.0,11470.0,92132.0,114329.0,3756.0,104381.0,68494.0,51789.0,30304.0,23859.0,25360.0,6140.0,1575.0,362.0,16515.0,3477.0,3522.0,3722.0,-407.0,55830.0,44581.0,12058.0,41538.0,30483.0,12623.0,-476.0,414891.0,383066.0,39036.0,30288.0,18560.0,4024.0,3696.0,10840.0,11728.0,496.0,8252.0,11084.0,8344.0,2632.0,5456.0,2728.0,2728.0,256.0,64.0,2676.0,867.0,895.0,968.0,-73.0,9472.0,8152.0,1320.0,8948.0,7308.0,1640.0,-59.0,51452.0,50120.0,10325.0,8119.0,5160.0,1020.0,1198.0,2942.0,2959.0,122.0,2084.0,2859.0,2146.0,721.0,1361.0,715.0,646.0,64.0,17.0,696.0,-311.0,-295.0,231.0,-526.0,2390.0,2111.0,279.0,2270.0,1898.0,372.0,-133.0,12860.0,13184.0,1.1340000000000001,1.028,0.8190000000000001,0.698,0.03,0.091,0.209,0.013000000000000001,0.09300000000000001,0.945,0.8190000000000001,0.506,0.292,0.201,0.091,0.022000000000000002,0.008,0.11800000000000001,0.225,0.273,1.334,-1.062,1.666,1.565,0.102,0.701,0.659,0.043,-0.13,3.139,2.079,4.753,4.309,3.4330000000000003,2.926,0.126,0.381,0.8759999999999999,0.054000000000000006,0.39,3.966,3.437,2.121,1.224,0.843,0.381,0.092,0.034,0.495,0.943,6.989,6.561,0.428,2.943,2.763,0.18,-0.545,8.719,8.719
1964-01,300471.0,201530.0,96047.0,11564.0,12561.0,85614.0,107050.0,3512.0,96450.0,64946.0,50362.0,28472.0,23877.0,22828.0,6993.0,1490.0,309.0,14338.0,3717.0,3676.0,3473.0,185.0,52866.0,42846.0,10621.0,40780.0,29634.0,12870.0,-2315.0,390966.0,363480.0,324135.0,212965.0,99026.0,10944.0,11743.0,93584.0,116043.0,3756.0,109928.0,71540.0,55216.0,31834.0,25644.0,27006.0,6664.0,1642.0,334.0,16178.0,4272.0,4225.0,3861.0,277.0,56746.0,45457.0,12016.0,43149.0,31590.0,13244.0,-2511.0,425171.0,394534.0,39991.0,30888.0,18944.0,4136.0,3796.0,11012.0,11944.0,508.0,8595.0,11656.0,8984.0,2828.0,5888.0,2912.0,2976.0,268.0,60.0,2612.0,1032.0,1036.0,944.0,92.0,9700.0,8356.0,1344.0,9416.0,7664.0,1752.0,-311.0,52652.0,51647.0,9733.0,7259.0,4335.0,940.0,728.0,2667.0,2924.0,127.0,2347.0,2537.0,1982.0,592.0,1323.0,607.0,716.0,67.0,14.0,541.0,140.0,164.0,501.0,-337.0,2076.0,1856.0,220.0,2132.0,1727.0,405.0,-53.0,12301.0,12270.0,1.9569999999999999,1.109,0.768,0.266,0.17,0.331,0.342,0.0,0.847,0.961,1.078,0.262,0.797,0.344,0.45299999999999996,0.019,-0.01,-0.107,0.426,0.379,0.098,0.281,0.303,0.312,-0.009000000000000001,0.679,0.519,0.16,-0.491,2.478,2.918,8.12,4.604,3.1839999999999997,1.104,0.706,1.374,1.42,0.0,3.516,3.989,4.475,1.088,3.3080000000000003,1.4280000000000002,1.88,0.079,-0.042,-0.444,1.768,1.258,1.295,-0.037000000000000005,2.818,2.154,0.664,-2.0380000000000003,12.109000000000002,12.109000000000002
1964-04,299951.0,202008.0,95962.0,11488.0,12244.0,86464.0,107845.0,3512.0,94827.0,65771.0,50947.0,27499.0,24679.0,23431.0,7276.0,1506.0,346.0,14534.0,1922.0,2009.0,3143.0,-1076.0,56289.0,46000.0,10728.0,42271.0,31007.0,12792.0,345.0,392312.0,364036.0,323682.0,213572.0,99013.0,10871.0,11449.0,94605.0,116933.0,3756.0,108079.0,72450.0,55857.0,30746.0,26505.0,27719.0,6933.0,1659.0,376.0,16400.0,2211.0,2310.0,3494.0,-1604.0,60426.0,48802.0,12136.0,44712.0,33033.0,13171.0,375.0,426739.0,395236.0,40230.0,31120.0,19004.0,4096.0,3716.0,11192.0,12116.0,508.0,8602.0,11940.0,9196.0,2768.0,6152.0,3036.0,3116.0,276.0,68.0,2676.0,659.0,715.0,960.0,-245.0,10364.0,9012.0,1352.0,9724.0,8008.0,1716.0,47.0,53516.0,52170.0,10131.0,7979.0,4880.0,1184.0,928.0,2768.0,3099.0,128.0,2024.0,2974.0,2330.0,643.0,1618.0,722.0,896.0,69.0,16.0,628.0,-141.0,-136.0,90.0,-226.0,2649.0,2330.0,319.0,2591.0,2141.0,450.0,7.0,13029.0,13105.0,-0.107,0.16699999999999998,-0.006999999999999999,-0.053,-0.18100000000000002,0.22699999999999998,0.174,0.0,-0.27399999999999997,0.282,0.19899999999999998,-0.183,0.376,0.14800000000000002,0.228,0.006999999999999999,0.015,0.068,-1.03,-0.9329999999999999,-0.17,-0.763,1.188,1.162,0.025,0.642,0.6609999999999999,-0.02,0.6779999999999999,0.369,0.175,-0.43,0.672,-0.027999999999999997,-0.213,-0.728,0.9129999999999999,0.7,0.0,-1.102,1.138,0.804,-0.736,1.5119999999999998,0.595,0.917,0.027999999999999997,0.06,0.27399999999999997,-4.143,4.775,4.6739999999999995,0.10099999999999999,2.5789999999999997,2.659,-0.08,2.727,0.708,0.708
